"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Nombre"
2019,1,"Ciutat Vella",1,"el Raval","Dones",394
2019,1,"Ciutat Vella",2,"el Barri Gòtic","Dones",194
2019,1,"Ciutat Vella",3,"la Barceloneta","Dones",100
2019,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Dones",171
2019,2,"Eixample",5,"el Fort Pienc","Dones",181
2019,2,"Eixample",6,"la Sagrada Família","Dones",247
2019,2,"Eixample",7,"la Dreta de l'Eixample","Dones",229
2019,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Dones",238
2019,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Dones",265
2019,2,"Eixample",10,"Sant Antoni","Dones",195
2019,3,"Sants-Montjuïc",11,"el Poble Sec","Dones",230
2019,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Dones",3
2019,3,"Sants-Montjuïc",13,"la Marina de Port","Dones",90
2019,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Dones",69
2019,3,"Sants-Montjuïc",15,"Hostafrancs","Dones",91
2019,3,"Sants-Montjuïc",16,"la Bordeta","Dones",67
2019,3,"Sants-Montjuïc",17,"Sants - Badal","Dones",107
2019,3,"Sants-Montjuïc",18,"Sants","Dones",280
2019,4,"Les Corts",19,"les Corts","Dones",145
2019,4,"Les Corts",20,"la Maternitat i Sant Ramon","Dones",55
2019,4,"Les Corts",21,"Pedralbes","Dones",39
2019,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Dones",23
2019,5,"Sarrià-Sant Gervasi",23,"Sarrià","Dones",113
2019,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Dones",51
2019,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Dones",133
2019,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Dones",225
2019,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Dones",157
2019,6,"Gràcia",28,"Vallcarca i els Penitents","Dones",81
2019,6,"Gràcia",29,"el Coll","Dones",27
2019,6,"Gràcia",30,"la Salut","Dones",56
2019,6,"Gràcia",31,"la Vila de Gràcia","Dones",256
2019,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Dones",113
2019,7,"Horta-Guinardó",33,"el Baix Guinardó","Dones",84
2019,7,"Horta-Guinardó",34,"Can Baró","Dones",37
2019,7,"Horta-Guinardó",35,"el Guinardó","Dones",177
2019,7,"Horta-Guinardó",36,"la Font d'en Fargues","Dones",27
2019,7,"Horta-Guinardó",37,"el Carmel","Dones",111
2019,7,"Horta-Guinardó",38,"la Teixonera","Dones",54
2019,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Dones",36
2019,7,"Horta-Guinardó",40,"Montbau","Dones",16
2019,7,"Horta-Guinardó",41,"la Vall d'Hebron","Dones",21
2019,7,"Horta-Guinardó",42,"la Clota","Dones",5
2019,7,"Horta-Guinardó",43,"Horta","Dones",126
2019,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Dones",102
2019,8,"Nou Barris",45,"Porta","Dones",152
2019,8,"Nou Barris",46,"el Turó de la Peira","Dones",105
2019,8,"Nou Barris",47,"Can Peguera","Dones",8
2019,8,"Nou Barris",48,"la Guineueta","Dones",30
2019,8,"Nou Barris",49,"Canyelles","Dones",14
2019,8,"Nou Barris",50,"les Roquetes","Dones",75
2019,8,"Nou Barris",51,"Verdun","Dones",87
